Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IGL,EQ,30-May-16,574.3,574,575.6,565,565.05,566.5,567.4,254516,144411114,10528,153589,60.35
IGL,EQ,31-May-16,566.5,569,569,555.6,560,558.55,561.03,401343,225165004.7,12439,257565,64.18
IGL,EQ,1-Jun-16,558.55,559,565.7,557.05,558.45,561.75,562.12,187896,105620520.6,7659,69791,37.14
IGL,EQ,2-Jun-16,561.75,561.5,575.5,559.15,567.4,569.5,569.35,502926,286343343.5,13417,235644,46.85
IGL,EQ,3-Jun-16,569.5,568.9,577.7,562.55,562.55,564.4,570.75,221830,126609911.9,8362,71308,32.15
IGL,EQ,6-Jun-16,564.4,564,576.5,555.1,573.65,575.05,568.45,236411,134387752.9,6979,54034,22.86
IGL,EQ,7-Jun-16,575.05,575.05,584.5,573.05,575.75,575.85,579.25,320832,185841419.6,7995,110942,34.58
IGL,EQ,8-Jun-16,575.85,576,582.5,574.1,577.05,577.65,579.06,300239,173857575,14057,130211,43.37
IGL,EQ,9-Jun-16,577.65,578.35,584.9,571,571.55,572.8,577.81,309671,178932100.6,7455,58868,19.01
IGL,EQ,10-Jun-16,572.8,575.75,587,574.5,582.7,582.35,582.64,583905,340205756.9,21687,282863,48.44
IGL,EQ,13-Jun-16,582.35,578.8,584.5,575.05,581,582.05,579.88,1208554,700813277.1,9107,778138,64.39
IGL,EQ,14-Jun-16,582.05,587.85,615.4,584.55,612.4,611.6,608.34,3012210,1832460028,41303,1233772,40.96
IGL,EQ,15-Jun-16,611.6,620,629,613.55,615.75,615.3,620.62,1878574,1165884292,43875,558261,29.72
